VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
2000,SOUTHERN WINE & SPIRITS NE,27854,F Coppola Black Label Claret,10.2,14.99,750.0,30869,314863.8,28886.0,413689.42,119853.64,3234.96,19016.59,98825.62,23.8888439544816,0.9357607956202015,1.313867837458609
8112,MOET HENNESSY USA INC,3682,Belvedere Vodka,16.66,22.99,750.0,18848,314007.68,15378.0,356676.22,180548.46,12111.68,48347.26,42668.53999999998,11.962821631338356,0.8158955857385399,1.1358837465376643
9552,M S WALKER INC,7878,Allens Coffee Brandy,9.99,15.99,1750.0,31200,311688.0,29175.0,440158.25,109164.19,53608.87,55551.82,128470.25,29.18728661793798,0.9350961538461539,1.4121757975924643
2561,EDRINGTON AMERICAS,1634,The Famous Grouse,20.73,29.99,1750.0,15031,311592.63,13326.0,408898.74,207837.41,24487.65,9654.5,97306.10999999999,23.797116616206736,0.8865677599627436,1.3122863015084791
12546,JIM BEAM BRANDS COMPANY,3444,Hornitos Plata Tequila,29.13,39.99,1750.0,10636,309826.68,9611.0,349411.89,225194.48,17662.7,123880.97,39585.21000000002,11.329096442596736,0.9036291839037232,1.1277656591743488
17035,PERNOD RICARD USA,2426,The Glenlivet 15Yr FrenchOak,41.59,51.99,750.0,7445,309637.55,6607.0,367393.93,226222.44,5206.51,123780.22,57756.380000000005,15.720559128453756,0.887441235728677,1.186528991719512
1392,CONSTELLATION BRANDS INC,32915,Kim Crawford Svgn Bl Marlbro,9.99,14.99,750.0,30842,308111.58,28242.0,432720.58,116533.83,3164.7000000000003,79528.99,124609.0,28.796642859001526,0.9156993709876143,1.4044281620314303
4425,MARTIGNETTI COMPANIES,35412,Yellow Tail Chard Ausl,5.97,9.99,1500.0,51294,306225.18,46223.0,450417.19,108715.65,10381.82,144929.24,144192.01,32.012990001558336,0.9011385347214099,1.4708692146086746
3960,DIAGEO NORTH AMERICA INC,3840,Smirnoff Raspberry Vodka,14.39,22.99,1750.0,21076,303283.64,19505.0,406962.94999999995,209751.99,35840.28,257032.07,103679.30999999994,25.47635110272322,0.9254602391345607,1.3418559273424704
9552,M S WALKER INC,3769,Jenkins Vodka,7.02,9.49,1750.0,42549,298693.98,39087.0,367002.63,126157.43000000001,71813.45,55551.82,68308.65000000002,18.612577789973884,0.9186349855460763,1.2286910837640586
8673,STE MICHELLE WINE ESTATES,8815,Ch Ste Michelle Chard Colmbi,6.07,8.99,750.0,48853,296537.71,45533.0,405101.77,90675.66,5107.5,15919.7,108564.06,26.79920653025041,0.9320410210222504,1.3661054103371877
3960,DIAGEO NORTH AMERICA INC,3879,Smirnoff 80 Proof Traveler,7.91,12.99,750.0,37344,295391.04,34872.0,405111.28,175148.59,27451.92,257032.07,109720.24000000005,27.083975543707407,0.9338046272493573,1.371440650332522
12546,JIM BEAM BRANDS COMPANY,1375,Jim Beam,11.5,14.49,750.0,25183,289604.5,24246.0,371425.04,188549.05,19093.18,123880.97,81820.53999999998,22.028816366284833,0.9627923599253465,1.2825250988848584
8892,TRINCHERO FAMILY ESTATES,41034,Menage a Trois Red,5.26,8.99,750.0,54738,287921.88,49994.0,466834.46,123342.84,5602.46,11595.97,178912.58000000002,38.324630105498215,0.9133326025795608,1.6213927889051016
1128,BROWN-FORMAN CORP,1545,Gentleman Jack,19.42,29.99,750.0,14785,287124.7,12656.0,370322.44,229420.86,9970.67,68601.68,83197.73999999999,22.46629720845434,0.8560027054447075,1.289761695876391
480,BACARDI USA INC,2665,Dewars White Label,15.38,19.99,750.0,18574,285668.12,17025.0,358801.75,198358.93,13409.58,89286.27,73133.63,20.38274060814921,0.9166038548508668,1.2560090709456835
1128,BROWN-FORMAN CORP,1770,Jack Daniels Tennessee Fire,26.42,38.99,1750.0,10746,283909.32,9163.0,352846.37,213484.6,16839.96,68601.68,68937.04999999999,19.537412273789297,0.8526893727898753,1.24281362091248
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4.48,6.95,750.0,63188,283082.24,56636.0,456434.98,100971.17,6353.900000000001,144929.24,173352.74,37.9797227635796,0.8963094258403494,1.6123758947223252
1392,CONSTELLATION BRANDS INC,35472,R M Woodbridge Pnt Grigio,5.88,8.99,1500.0,47207,277577.16,42776.0,433164.24,118423.11,9605.19,79528.99,155587.08000000002,35.918726809027454,0.9061368017455038,1.560518307774314
8004,SAZERAC CO INC,5105,Dr McGillicuddy's Mentholmnt,14.81,25.99,1750.0,18007,266683.67,15495.0,353331.05,184556.0,28473.28,50293.62,86647.38,24.523001870342277,0.8604986949519631,1.324906958120083
8004,SAZERAC CO INC,5153,Fireball Cinn Whisky Trav,10.44,15.99,750.0,25499,266209.56,21649.0,327645.51,160896.69,17047.53,50293.62,61435.95000000001,18.75073764935769,0.8490136868112474,1.2307804047307693
3960,DIAGEO NORTH AMERICA INC,4368,Capt Morgan Private Stock,23.91,32.99,1750.0,11035,263846.85000000003,9902.0,337244.98000000004,211712.96000000002,18198.73,257032.07,73398.13,21.764039304602843,0.8973266878115088,1.278184598375914
3960,DIAGEO NORTH AMERICA INC,3488,Tanqueray,15.62,23.99,750.0,16740,261478.8,14436.0,340975.63999999996,199443.72,11370.210000000001,257032.07,79496.83999999997,23.314521823318515,0.8623655913978494,1.3040278600024169
3960,DIAGEO NORTH AMERICA INC,8111,Smirnoff 80 Proof,0.77,0.99,50.0,337660,259998.2,310985.0,307875.15,20037.6,16322.11,257032.07,47876.95000000001,15.550767900559695,0.9210004146182551,1.1841433902234708
